model,context_variant,bump_error_type,custom_id,bump_total,in_bump_instance,in_bump_global,llm_triggered,detected,missed,mismatched,novel
Qwen-480B,Method,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
Qwen-480B,Method,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
Qwen-480B,Method,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
Qwen-480B,Method,ClassCastException,BBC167,10,1,1,0,0,1,0,0
Qwen-480B,Method,MojoFailureException,BBC167,88,1,1,1,1,0,0,0
Qwen-480B,Method,AssertionFailedError,BBC167,7,0,1,1,0,0,1,0
Qwen-480B,Class,AssertionError,BBC06,10,0,1,1,0,0,1,0
Qwen-480B,Class,Exception,BBC06,3,0,1,1,0,0,1,0
Qwen-480B,Class,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
Qwen-480B,Class,InvocationTargetException,BBC06,1,0,1,1,0,0,1,0
Qwen-480B,Class,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
Qwen-480B,Class,test_logException,BBC17,0,0,0,1,0,0,0,1
Qwen-480B,Class,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
Qwen-480B,Class,Exception,BBC17,3,0,1,1,0,0,1,0
Qwen-480B,Class,IOException,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Class,APIException,BBC27,2,1,1,0,0,1,0,0
Qwen-480B,Class,ClassNotFoundException,BBC27,30,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC27,88,1,1,0,0,1,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC27,35,1,1,0,0,1,0,0
Qwen-480B,Class,Exception,BBC27,3,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC33,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC33,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC33,30,1,1,1,1,0,0,0
Qwen-480B,Class,Exception,BBC36,3,0,1,1,0,0,1,0
Qwen-480B,Class,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
Qwen-480B,Class,test_getBytes_invalidObject_throwsHecException,BBC42,0,0,0,1,0,0,0,1
Qwen-480B,Class,sendWithReadError,BBC42,1,1,1,0,0,1,0,0
Qwen-480B,Class,sendWithIOError,BBC42,1,1,1,0,0,1,0,0
Qwen-480B,Class,ClassNotFoundException,BBC42,30,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC42,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC42,35,1,1,1,1,0,0,0
Qwen-480B,Class,sendWithCloseError,BBC42,1,1,1,0,0,1,0,0
Qwen-480B,Class,addWithTimeoutError,BBC42,1,1,1,0,0,1,0,0
Qwen-480B,Class,Exception,BBC42,3,1,1,0,0,1,0,0
Qwen-480B,Class,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
Qwen-480B,Class,InvocationTargetException,BBC49,1,0,1,1,0,0,1,0
Qwen-480B,Class,Exception,BBC49,3,0,1,1,0,0,1,0
Qwen-480B,Class,RuntimeException,BBC50,8,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC50,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC50,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC50,30,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC54,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC54,35,1,1,0,0,1,0,0
Qwen-480B,Class,ClassNotFoundException,BBC54,30,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC56,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC56,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC56,30,1,1,1,1,0,0,0
Qwen-480B,Class,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
Qwen-480B,Class,test_waitToFinishCalculationWithInterruptedException,BBC72,0,0,0,1,0,0,0,1
Qwen-480B,Class,AssertionFailedError,BBC72,7,0,1,1,0,0,1,0
Qwen-480B,Class,test_setPhysicalPropertiesError,BBC72,0,0,0,1,0,0,0,1
Qwen-480B,Class,AssertionFailedError,BBC73,7,0,1,1,0,0,1,0
Qwen-480B,Class,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
Qwen-480B,Class,ClassCastException,BBC131,10,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC131,88,1,1,1,1,0,0,0
Qwen-480B,Class,AssertionFailedError,BBC131,7,0,1,1,0,0,1,0
Qwen-480B,Class,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
Qwen-480B,Class,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
Qwen-480B,Class,Exception,BBC132,3,0,1,1,0,0,1,0
Qwen-480B,Class,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Class,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
Qwen-480B,Class,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
Qwen-480B,Class,IOException,BBC146,3,1,1,0,0,1,0,0
Qwen-480B,Class,Exception,BBC146,3,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
Qwen-480B,Class,APIException,BBC146,2,1,1,0,0,1,0,0
Qwen-480B,Class,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
Qwen-480B,Class,test_getConfiguration_createNewFileIOException,BBC150,0,0,0,1,0,0,0,1
Qwen-480B,Class,MojoFailureException,BBC150,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC150,35,1,1,1,1,0,0,0
Qwen-480B,Class,ClassNotFoundException,BBC150,30,1,1,1,1,0,0,0
Qwen-480B,Class,ClassCastException,BBC162,10,1,1,0,0,1,0,0
Qwen-480B,Class,MojoFailureException,BBC162,88,1,1,1,1,0,0,0
Qwen-480B,Class,AssertionFailedError,BBC162,7,0,1,1,0,0,1,0
Qwen-480B,Class,test_logException,BBC165,0,0,0,1,0,0,0,1
Qwen-480B,Class,test_extractSoundType_withInvalidInput_returnsNullAndLogsError,BBC165,0,0,0,1,0,0,0,1
Qwen-480B,Class,Exception,BBC165,3,0,1,1,0,0,1,0
Qwen-480B,Class,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
Qwen-480B,Class,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
Qwen-480B,Class,InvocationTargetException,BBC165,1,0,1,1,0,0,1,0
Qwen-480B,Class,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,NoClassDefFoundError,BBC49,35,1,1,0,0,1,0,0
GPT-OSS-120b,Minimal,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-OSS-120b,Minimal,UnsupportedOperationException,BBC145,6,1,1,0,0,1,0,0
GPT-OSS-120b,Minimal,InvalidClassException,BBC145,6,1,1,0,0,1,0,0
GPT-OSS-120b,Minimal,MojoFailureException,BBC145,88,1,1,0,0,1,0,0
GPT-OSS-120b,Minimal,ExceptionInInitializerError,BBC145,8,1,1,0,0,1,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
GPT-OSS-120b,Method,AssertionError,BBC17,10,0,1,1,0,0,1,0
GPT-OSS-120b,Method,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,Exception,BBC36,3,0,1,1,0,0,1,0
GPT-OSS-120b,Method,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,InvocationTargetException,BBC36,1,0,1,1,0,0,1,0
GPT-OSS-120b,Method,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,Exception,BBC49,3,0,1,1,0,0,1,0
GPT-OSS-120b,Method,AssertionFailedError,BBC72,7,0,1,1,0,0,1,0
GPT-OSS-120b,Method,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,testExecuteException,BBC73,0,0,0,1,0,0,0,1
GPT-OSS-120b,Method,AssertionFailedError,BBC73,7,0,1,1,0,0,1,0
GPT-OSS-120b,Method,test_main_noException,BBC73,0,0,0,1,0,0,0,1
GPT-OSS-120b,Method,test_main_nullArgs_noException,BBC73,0,0,0,1,0,0,0,1
GPT-OSS-120b,Method,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
GPT-OSS-120b,Method,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,Exception,BBC132,3,0,1,1,0,0,1,0
GPT-OSS-120b,Method,Exception,BBC165,3,0,1,1,0,0,1,0
GPT-OSS-120b,Method,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
GPT-OSS-120b,Method,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
GPT-OSS-120b,Method,test_handleGetRequest_DaoThrowsException,BBC165,0,0,0,1,0,0,0,1
GPT-OSS-120b,Method,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
GPT-OSS-120b,Class,Exception,BBC06,3,0,1,1,0,0,1,0
GPT-OSS-120b,Class,MojoFailureException,BBC06,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC06,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,ClassNotFoundException,BBC06,30,1,1,1,1,0,0,0
GPT-OSS-120b,Class,MojoFailureException,BBC07,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoSuchMethodError,BBC17,8,1,1,1,1,0,0,0
GPT-OSS-120b,Class,MojoFailureException,BBC17,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC17,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,test_handleRequest_daoThrowsException,BBC17,0,0,0,1,0,0,0,1
GPT-OSS-120b,Class,Exception,BBC36,3,0,1,1,0,0,1,0
GPT-OSS-120b,Class,MojoFailureException,BBC36,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC36,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,ClassNotFoundException,BBC36,30,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoSuchMethodError,BBC49,8,1,1,1,1,0,0,0
GPT-OSS-120b,Class,MojoFailureException,BBC49,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC49,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoSuchMethodError,BBC72,8,1,1,1,1,0,0,0
GPT-OSS-120b,Class,test_main_withNullArgs_executesWithoutException,BBC72,0,0,0,1,0,0,0,1
GPT-OSS-120b,Class,MojoFailureException,BBC72,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC72,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,AssertionFailedError,BBC72,7,0,1,1,0,0,1,0
GPT-OSS-120b,Class,testMainRunsWithoutException,BBC72,0,0,0,1,0,0,0,1
GPT-OSS-120b,Class,test_main_withEmptyArgs_executesWithoutException,BBC72,0,0,0,1,0,0,0,1
GPT-OSS-120b,Class,AssertionFailedError,BBC73,7,0,1,1,0,0,1,0
GPT-OSS-120b,Class,MojoFailureException,BBC73,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC73,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,ClassNotFoundException,BBC73,30,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoSuchMethodError,BBC132,8,1,1,1,1,0,0,0
GPT-OSS-120b,Class,MojoFailureException,BBC132,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC132,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,Exception,BBC132,3,0,1,1,0,0,1,0
GPT-OSS-120b,Class,IOException,BBC146,3,1,1,0,0,1,0,0
GPT-OSS-120b,Class,Exception,BBC146,3,1,1,0,0,1,0,0
GPT-OSS-120b,Class,MojoFailureException,BBC146,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC146,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,APIException,BBC146,2,1,1,0,0,1,0,0
GPT-OSS-120b,Class,ClassNotFoundException,BBC146,30,1,1,1,1,0,0,0
GPT-OSS-120b,Class,Exception,BBC165,3,0,1,1,0,0,1,0
GPT-OSS-120b,Class,MojoFailureException,BBC165,88,1,1,1,1,0,0,0
GPT-OSS-120b,Class,NoClassDefFoundError,BBC165,35,1,1,1,1,0,0,0
GPT-OSS-120b,Class,ClassNotFoundException,BBC165,30,1,1,1,1,0,0,0
